zone,pheno_year,SOS,EOS,LOS,peak_doy,peak_ndvi,baseline_ndvi,amplitude,integrated_NDVI,pre_sos_rain_mm,season_rain_mm,mean_LST_Day,mean_LST_Night,mean_DTR,mean_ET,mean_ET_stress,annual_GPP,annual_PsnNet,mean_NDWI,mean_NDMI,mean_EVI
Wet,2002,53,361,308,216,0.883247335192992,0.6732169120049424,0.21003042318804965,281.48229677441924,589.102387890059,11257.991789005619,30.902623244395095,21.125009967099796,9.79979569807105,23.0127397260274,0.6126049897059542,16000.95,5649.450000000001,-0.7004797444128459,0.277584523851434,0.4555320113840565
Wet,2003,47,365,318,232,0.8696914420404378,0.6038272324121785,0.2658642096282593,272.50466881502854,813.7362646932679,11667.603093686163,30.49445230962458,21.21122438982012,9.529123353676553,22.48205479452055,0.6152969912381753,14879.000000000002,5496.175000000002,-0.6830170359133401,0.26807307242869033,0.45109946964461967
Wet,2004,46,347,301,207,0.9224733536943487,0.6433153794279628,0.2791579742663859,274.6081628594642,890.8342343355621,8631.57488863335,31.96960831724565,21.55570810872828,10.011735048246784,23.31150684931507,0.6195304104659711,15337.199999999997,5591.400000000001,-0.6865101424354566,0.27718335215907375,0.4581964737058656
Wet,2005,54,353,299,243,0.8632126364929942,0.6484509160768744,0.21476172041611974,274.9344800632961,861.3440486148469,6415.061004914655,30.913632471271512,20.963676886896195,10.054961512632904,23.754383561643838,0.6006705049722098,15242.55,5511.924999999999,-0.6863576153784243,0.2594077874503277,0.45637361459415826
Wet,2006,63,362,299,224,0.8596635768087224,0.6418136257092644,0.21784995109945804,273.3826686007794,545.2526934886881,12637.20640088651,30.69521859150808,21.42929227850119,9.319142969105947,24.181027397260277,0.6511068549247601,16408.7,6943.100000000001,-0.6894524582589706,0.2625953619280408,0.44875293652229276
Wet,2007,63,362,299,216,0.884588646439285,0.6503876145377402,0.23420103190154484,276.32558272676687,688.5899626784629,13243.070818582479,30.996829940330286,21.154280132818908,9.7172328919102,24.792397260273972,0.6266301750590936,16198.449999999999,6791.55,-0.6901250316980748,0.2521401479204594,0.4496966755688646
Wet,2008,38,330,292,183,0.9247472734736182,0.6459567118335819,0.27879056164003624,277.067726574397,539.3995801005519,12728.19808154524,32.558812882874356,22.428382978960233,10.100741650945409,24.17753424657534,0.6249113476469953,15940.4,5258.599999999999,-0.688441640298289,0.2608046533245011,0.475905664430736
Wet,2009,80,365,285,192,0.8552535779153965,0.5772997404750823,0.2779538374403142,263.2556163487732,389.13923135172445,8509.225135841512,31.47991510555188,21.352566815117328,10.270331295473413,21.546575342465754,0.5770140848250087,14231.724999999999,4702.950000000001,-0.6685527821978557,0.24258179201456168,0.4157563197213441
Wet,2010,62,365,303,160,0.8625925562801597,0.615545475960674,0.24704708031948575,275.9086180516361,455.79186353870807,8715.365453094713,31.90831103366922,21.938641078573855,9.862330228207338,23.906301369863012,0.6029209828546573,15941.75,5714.175000000001,-0.6881909497116898,0.2705954987434886,0.4613985861318448
Wet,2011,47,361,314,208,0.872434945743789,0.6498235722329959,0.22261137351079308,278.7525329054961,708.5790788306698,8235.704125339433,30.611943638902385,21.672356606603977,8.943529404788434,25.516027397260274,0.6255871847431891,16645.600000000002,6716.125000000001,-0.698435683385162,0.27049955088867284,0.45559731226453254
